idx,dataset,measure,result,duration
0,polblogs,BCC,0.6346316729708151,2
1,polblogs,BoundaryConnectivity,0.17940389178883276,0
2,polblogs,ClusteringCoefficient,0.26153040196578853,0
3,polblogs,EmbeddingControversy,0.04353476644942211,5
4,polblogs,PolarizationIndex,0.2968040483352411,64
5,polblogs,MBLB,0.33282216862735864,13
6,polblogs,Modularity,0.4256232042299787,0
7,polblogs,RWC,0.34928409236056024,99
8,Cruzeiro_Atletico_Twitter,BCC,0.7813514358975364,268
9,Cruzeiro_Atletico_Twitter,BoundaryConnectivity,0.11049701824737003,0
10,Cruzeiro_Atletico_Twitter,ClusteringCoefficient,0.12588763594809085,3
11,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.14282961022847296,210
12,Cruzeiro_Atletico_Twitter,PolarizationIndex,0.538177091047624,107
13,Cruzeiro_Atletico_Twitter,MBLB,0.3751677028705645,1200
14,Cruzeiro_Atletico_Twitter,Modularity,0.4185099039849901,0
15,Cruzeiro_Atletico_Twitter,RWC,0.3724887702652663,1396
16,connected_complete_graphs,BCC,0.7140640175110047,18
17,connected_complete_graphs,BoundaryConnectivity,0.4965034965034966,0
18,connected_complete_graphs,ClusteringCoefficient,0.9996666666666669,7
19,connected_complete_graphs,EmbeddingControversy,0.941711500212391,2
20,connected_complete_graphs,PolarizationIndex,0.8277671339412982,3136
21,connected_complete_graphs,MBLB,0.6542857142857144,4
22,connected_complete_graphs,Modularity,0.49983280387895,0
23,connected_complete_graphs,RWC,0.9881100048417389,49
24,Facebook_Friends_cc,BCC,0.7850628038701195,0
25,Facebook_Friends_cc,BoundaryConnectivity,0.14647118263453054,0
26,Facebook_Friends_cc,ClusteringCoefficient,0.5400625941056085,0
27,Facebook_Friends_cc,EmbeddingControversy,0.5411756176054869,0
28,Facebook_Friends_cc,PolarizationIndex,0.14577037056049452,17
29,Facebook_Friends_cc,MBLB,0.19830141255956935,6
30,Facebook_Friends_cc,Modularity,0.3436300130848828,0
31,Facebook_Friends_cc,RWC,0.17981882317630243,25
32,gun_control_Twitter_cc,BCC,0.8480946352987295,1597
33,gun_control_Twitter_cc,BoundaryConnectivity,0.24691011981753894,0
34,gun_control_Twitter_cc,ClusteringCoefficient,0.06725174265277624,16
35,gun_control_Twitter_cc,EmbeddingControversy,0.6631076079380847,306
36,gun_control_Twitter_cc,PolarizationIndex,0.40939728372838224,1096
37,gun_control_Twitter_cc,MBLB,0.5844167273722439,964
38,gun_control_Twitter_cc,Modularity,0.4774197673395837,1
39,gun_control_Twitter_cc,RWC,0.6537169697472404,1346
40,complete_graph_600,BCC,0.0003199186024450684,71
41,complete_graph_600,BoundaryConnectivity,0.0,0
42,complete_graph_600,ClusteringCoefficient,1.0,17
43,complete_graph_600,EmbeddingControversy,0.0036166015528134032,3
44,complete_graph_600,PolarizationIndex,0.00017322,14053
45,complete_graph_600,MBLB,0.01837824399708948,4
46,complete_graph_600,Modularity,-0.0008347152661844492,0
47,complete_graph_600,RWC,-0.05207555578761075,71
48,karate,BCC,0.3746270002376123,0
49,karate,BoundaryConnectivity,0.18828914141414138,0
50,karate,ClusteringCoefficient,0.5683006535947712,0
51,karate,EmbeddingControversy,0.23281949200251162,0
52,karate,PolarizationIndex,0.32588691230276035,0
53,karate,MBLB,0.7770308123249301,0
54,karate,Modularity,0.3717948717948718,0
55,karate,RWC,0.171655386107747,3
56,karate_easley_groundtruth,BCC,0.3753432889885224,0
57,karate_easley_groundtruth,BoundaryConnectivity,0.18828914141414138,0
58,karate_easley_groundtruth,ClusteringCoefficient,0.5977124183006536,0
59,karate_easley_groundtruth,EmbeddingControversy,0.4244492285770112,0
60,karate_easley_groundtruth,PolarizationIndex,0.3553020671671068,0
61,karate_easley_groundtruth,MBLB,0.7770308123249301,0
62,karate_easley_groundtruth,Modularity,0.3582347140039447,0
63,karate_easley_groundtruth,RWC,0.17810400848006666,3
64,polblogs_cc,BCC,0.6444589900564106,2
65,polblogs_cc,BoundaryConnectivity,0.17016949158578218,0
66,polblogs_cc,ClusteringCoefficient,0.33958178858045723,0
67,polblogs_cc,EmbeddingControversy,0.6323482878108277,3
68,polblogs_cc,PolarizationIndex,0.13134105040758226,63
69,polblogs_cc,MBLB,0.4551220865511118,10
70,polblogs_cc,Modularity,0.422376344239583,0
71,polblogs_cc,RWC,0.31050010652054677,91
72,Cruzeiro_Atletico_Twitter_cc,BCC,0.7891307798056436,315
73,Cruzeiro_Atletico_Twitter_cc,BoundaryConnectivity,0.10680046878029974,0
74,Cruzeiro_Atletico_Twitter_cc,ClusteringCoefficient,0.10854715760042166,2
75,Cruzeiro_Atletico_Twitter_cc,EmbeddingControversy,0.31517512665393255,254
76,Cruzeiro_Atletico_Twitter_cc,PolarizationIndex,0.3495078976945841,144
77,Cruzeiro_Atletico_Twitter_cc,MBLB,0.4046738826872315,663
78,Cruzeiro_Atletico_Twitter_cc,Modularity,0.4104682362391443,0
79,Cruzeiro_Atletico_Twitter_cc,RWC,0.3218236925950061,1474
80,gun_control_Twitter,BCC,0.8280923624318367,1884
81,gun_control_Twitter,BoundaryConnectivity,0.24926353632426287,0
82,gun_control_Twitter,ClusteringCoefficient,0.06658574142925047,15
83,gun_control_Twitter,EmbeddingControversy,0.6499257457383243,313
84,gun_control_Twitter,PolarizationIndex,0.42149500643509863,1361
85,gun_control_Twitter,MBLB,0.5730405989958149,935
86,gun_control_Twitter,Modularity,0.47766693281162204,1
